"","batch","well","treatment","sample","genes_detected","genes_detected_zscore","genes_detected_pval","genes_detected_padj","counts"
"M1B_T384s1_C1","M1B","C1","SC 3","M1B_T384s1_C1",4600,-2.31930339977577,0.0203785912255438,0.409654454830882,16787
"M1B_T384s1_C2","M1B","C2","DMSO","M1B_T384s1_C2",13135,1.45697653805662,0.145122856723513,0.994975217358688,1473579
"M1B_T384s1_C3","M1B","C3","C3","M1B_T384s1_C3",12945,1.37291172397482,0.169779791406181,0.994975217358688,1370554
"M1B_T384s1_C4","M1B","C4","C4","M1B_T384s1_C4",12062,0.982231561689407,0.325985781980115,0.994975217358688,465220
"M1B_T384s1_C5","M1B","C5","C5","M1B_T384s1_C5",10852,0.446871429905318,0.654967893352628,0.994975217358688,291337
"M1B_T384s1_C6","M1B","C6","C6","M1B_T384s1_C6",11373,0.677385999045409,0.498161079247782,0.994975217358688,412642
"M1B_T384s1_C7","M1B","C7","C7","M1B_T384s1_C7",10889,0.463241946331774,0.643190952711761,0.994975217358688,271165
"M1B_T384s1_C8","M1B","C8","C8","M1B_T384s1_C8",11683,0.814544379915713,0.415333158926684,0.994975217358688,434942
"M1B_T384s1_C9","M1B","C9","C9","M1B_T384s1_C9",9820,-0.00973324447582207,0.992234117124591,0.996709008282428,161927
"M1B_T384s1_C10","M1B","C10","C10","M1B_T384s1_C10",11365,0.673846427926176,0.500408954183032,0.994975217358688,355055
"M1B_T384s1_C11","M1B","C11","C11","M1B_T384s1_C11",10259,0.184500720692124,0.853620661832174,0.994975217358688,207827
"M1B_T384s1_C12","M1B","C12","C12","M1B_T384s1_C12",12561,1.20301231025161,0.228971556830311,0.994975217358688,1059648
"M1B_T384s1_C13","M1B","C13","C13","M1B_T384s1_C13",11433,0.703932782439662,0.481474634785928,0.994975217358688,394833
"M1B_T384s1_C14","M1B","C14","C14","M1B_T384s1_C14",12538,1.19283604328381,0.232933591104801,0.994975217358688,716775
"M1B_T384s1_C15","M1B","C15","C15","M1B_T384s1_C15",10998,0.511468602831332,0.609022968087954,0.994975217358688,307374
"M1B_T384s1_C16","M1B","C16","C16","M1B_T384s1_C16",10865,0.452623232974073,0.650820066282847,0.994975217358688,315235
"M1B_T384s1_C17","M1B","C17","C17","M1B_T384s1_C17",11018,0.520317530629416,0.60284227927404,0.994975217358688,272200
"M1B_T384s1_C18","M1B","C18","C18","M1B_T384s1_C18",11361,0.672076642366559,0.501534905562083,0.994975217358688,389518
"M1B_T384s1_C19","M1B","C19","C19","M1B_T384s1_C19",11031,0.526069333698171,0.598840034707729,0.994975217358688,286034
"M1B_T384s1_C20","M1B","C20","C20","M1B_T384s1_C20",11225,0.611903933339587,0.540601319090341,0.994975217358688,377065
"M1B_T384s1_C21","M1B","C21","C21","M1B_T384s1_C21",10141,0.132292046683428,0.89475329791369,0.994975217358688,199524
"M1B_T384s1_C22","M1B","C22","C22","M1B_T384s1_C22",10756,0.404396576474514,0.685921117307112,0.994975217358688,232610
"M1B_T384s1_C23","M1B","C23","P7NG# 14 D5 Diff GFP +","M1B_T384s1_C23",4375,-2.41885383750422,0.0155694948520713,0.398579068213024,16542
"M1B_T384s1_C24","M1B","C24","P7NG# 8 D20 SF GFP -","M1B_T384s1_C24",4662,-2.29187172360171,0.0219130463677298,0.409654454830882,19863
"M1B_T384s1_D1","M1B","D1","SC 4","M1B_T384s1_D1",4627,-2.30735734724836,0.0210349069652129,0.409654454830882,16606
"M1B_T384s1_D2","M1B","D2","DMSO","M1B_T384s1_D2",13561,1.64545870015581,0.0998752528708219,0.86657777301741,1956167
"M1B_T384s1_D3","M1B","D3","D3","M1B_T384s1_D3",10814,0.430058467088958,0.667153111174705,0.994975217358688,253460
"M1B_T384s1_D4","M1B","D4","D4","M1B_T384s1_D4",10602,0.336259832429267,0.736674937167785,0.994975217358688,278074
"M1B_T384s1_D5","M1B","D5","D5","M1B_T384s1_D5",10020,0.078756033505019,0.937226675551812,0.994975217358688,184245
"M1B_T384s1_D6","M1B","D6","D6","M1B_T384s1_D6",11440,0.707029907168991,0.479547892470921,0.994975217358688,356805
"M1B_T384s1_D7","M1B","D7","D7","M1B_T384s1_D7",11152,0.57960534687658,0.562180786487874,0.994975217358688,318695
"M1B_T384s1_D8","M1B","D8","D8","M1B_T384s1_D8",11103,0.557925473771274,0.576895275805105,0.994975217358688,277002
"M1B_T384s1_D9","M1B","D9","D9","M1B_T384s1_D9",12082,0.991080489487491,0.321646279075855,0.994975217358688,596512
"M1B_T384s1_D10","M1B","D10","D10","M1B_T384s1_D10",11703,0.823393307713797,0.410284367524482,0.994975217358688,427400
"M1B_T384s1_D11","M1B","D11","D11","M1B_T384s1_D11",12165,1.02780353984954,0.304042250817263,0.994975217358688,569232
"M1B_T384s1_D12","M1B","D12","D12","M1B_T384s1_D12",12898,1.35211674364932,0.176337971807191,0.994975217358688,1086325
"M1B_T384s1_D13","M1B","D13","D13","M1B_T384s1_D13",12040,0.972497741111514,0.330802988107923,0.994975217358688,600560
"M1B_T384s1_D14","M1B","D14","D14","M1B_T384s1_D14",10473,0.279184248131624,0.780103431399458,0.994975217358688,253251
"M1B_T384s1_D15","M1B","D15","D15","M1B_T384s1_D15",9990,0.0654826418078929,0.947789726501082,0.994975217358688,177665
"M1B_T384s1_D16","M1B","D16","D16","M1B_T384s1_D16",11293,0.641990287853073,0.520879489034944,0.994975217358688,340163
"M1B_T384s1_D17","M1B","D17","D17","M1B_T384s1_D17",11222,0.610576594169874,0.541479921842851,0.994975217358688,371887
"M1B_T384s1_D18","M1B","D18","D18","M1B_T384s1_D18",9973,0.0579610531795214,0.953779651405777,0.994975217358688,196397
"M1B_T384s1_D19","M1B","D19","D19","M1B_T384s1_D19",12493,1.17292595573812,0.240825499860367,0.994975217358688,1098452
"M1B_T384s1_D20","M1B","D20","D20","M1B_T384s1_D20",10881,0.45970237521254,0.645729864415105,0.994975217358688,282095
"M1B_T384s1_D21","M1B","D21","D21","M1B_T384s1_D21",10487,0.285378497590283,0.77535417934087,0.994975217358688,213347
"M1B_T384s1_D22","M1B","D22","D22","M1B_T384s1_D22",11270,0.631814020885276,0.527508410705271,0.994975217358688,311181
