,batch,well,treatment,sample,Experiment
M2B_T384s1_M22,M2B,M22,M22,M2B_T384s1_M22,Sseq
M2B_T384s1_M23,M2B,M23,AdMyoD,M2B_T384s1_M23,Sseq
M2B_T384s1_M24,M2B,M24,#1 MN(0Days) NRM,M2B_T384s1_M24,Sph
M2B_T384s1_N1,M2B,N1,Un Inj TA 1,M2B_T384s1_N1,Sph
M2B_T384s1_N2,M2B,N2,P7NG# 7 D5 Diff GFP -,M2B_T384s1_N2,Sseq
M2B_T384s1_N3,M2B,N3,N3,M2B_T384s1_N3,Sseq
M2B_T384s1_N4,M2B,N4,N4,M2B_T384s1_N4,Sseq
M2B_T384s1_N5,M2B,N5,N5,M2B_T384s1_N5,Sseq
M2B_T384s1_N6,M2B,N6,N6,M2B_T384s1_N6,Sseq
M2B_T384s1_N7,M2B,N7,N7,M2B_T384s1_N7,Sseq
M2B_T384s1_N8,M2B,N8,N8,M2B_T384s1_N8,Sseq
M2B_T384s1_N9,M2B,N9,N9,M2B_T384s1_N9,Sseq
M2B_T384s1_N10,M2B,N10,N10,M2B_T384s1_N10,Sseq
M2B_T384s1_N11,M2B,N11,N11,M2B_T384s1_N11,Sseq
M2B_T384s1_N12,M2B,N12,N12,M2B_T384s1_N12,Sseq
M2B_T384s1_N13,M2B,N13,N13,M2B_T384s1_N13,Sseq
M2B_T384s1_N14,M2B,N14,N14,M2B_T384s1_N14,Sseq
M2B_T384s1_N15,M2B,N15,N15,M2B_T384s1_N15,Sseq
M2B_T384s1_N16,M2B,N16,N16,M2B_T384s1_N16,Sseq
M2B_T384s1_N17,M2B,N17,N17,M2B_T384s1_N17,Sseq
M2B_T384s1_N18,M2B,N18,N18,M2B_T384s1_N18,Sseq
M2B_T384s1_N19,M2B,N19,N19,M2B_T384s1_N19,Sseq
M2B_T384s1_N20,M2B,N20,N20,M2B_T384s1_N20,Sseq
M2B_T384s1_N21,M2B,N21,N21,M2B_T384s1_N21,Sseq
M2B_T384s1_N22,M2B,N22,N22,M2B_T384s1_N22,Sseq
M2B_T384s1_N23,M2B,N23,AdMyoD,M2B_T384s1_N23,Sseq
M2B_T384s1_N24,M2B,N24,#2 MN(0Days) NRM,M2B_T384s1_N24,Sph
M2B_T384s1_O1,M2B,O1,Un inj TA 2,M2B_T384s1_O1,Sph
M2B_T384s1_O2,M2B,O2,P7NG# 7 D5 Diff GFP +,M2B_T384s1_O2,Sph
M2B_T384s1_O3,M2B,O3,O3,M2B_T384s1_O3,Sseq
M2B_T384s1_O4,M2B,O4,O4,M2B_T384s1_O4,Sseq
M2B_T384s1_O5,M2B,O5,O5,M2B_T384s1_O5,Sseq
M2B_T384s1_O6,M2B,O6,O6,M2B_T384s1_O6,Sseq
M2B_T384s1_O7,M2B,O7,O7,M2B_T384s1_O7,Sseq
M2B_T384s1_O8,M2B,O8,O8,M2B_T384s1_O8,Sseq
M2B_T384s1_O9,M2B,O9,O9,M2B_T384s1_O9,Sseq
M2B_T384s1_O10,M2B,O10,O10,M2B_T384s1_O10,Sseq
M2B_T384s1_O11,M2B,O11,O11,M2B_T384s1_O11,Sseq
M2B_T384s1_O12,M2B,O12,O12,M2B_T384s1_O12,Sseq
M2B_T384s1_O13,M2B,O13,O13,M2B_T384s1_O13,Sseq
M2B_T384s1_O14,M2B,O14,O14,M2B_T384s1_O14,Sseq
M2B_T384s1_O15,M2B,O15,O15,M2B_T384s1_O15,Sseq
M2B_T384s1_O16,M2B,O16,O16,M2B_T384s1_O16,Sseq
M2B_T384s1_O17,M2B,O17,O17,M2B_T384s1_O17,Sseq
M2B_T384s1_O18,M2B,O18,O18,M2B_T384s1_O18,Sseq
M2B_T384s1_O19,M2B,O19,O19,M2B_T384s1_O19,Sseq
M2B_T384s1_O20,M2B,O20,O20,M2B_T384s1_O20,Sseq
M2B_T384s1_O21,M2B,O21,O21,M2B_T384s1_O21,Sseq
M2B_T384s1_O22,M2B,O22,O22,M2B_T384s1_O22,Sseq
M2B_T384s1_O23,M2B,O23,AdMyoD,M2B_T384s1_O23,Sseq
M2B_T384s1_O24,M2B,O24,#3 MN(0Days) NRM,M2B_T384s1_O24,Sph
M2B_T384s1_P1,M2B,P1,5D Inj TA 1,M2B_T384s1_P1,Sph
M2B_T384s1_P2,M2B,P2,P7NG# 9 D5 Diff GFP -,M2B_T384s1_P2,Sph
M2B_T384s1_P3,M2B,P3,P3,M2B_T384s1_P3,Sseq
M2B_T384s1_P4,M2B,P4,P4,M2B_T384s1_P4,Sseq
M2B_T384s1_P5,M2B,P5,P5,M2B_T384s1_P5,Sseq
M2B_T384s1_P6,M2B,P6,P6,M2B_T384s1_P6,Sseq
M2B_T384s1_P7,M2B,P7,P7,M2B_T384s1_P7,Sseq
M2B_T384s1_P8,M2B,P8,P8,M2B_T384s1_P8,Sseq
M2B_T384s1_P9,M2B,P9,P9,M2B_T384s1_P9,Sseq
M2B_T384s1_P10,M2B,P10,P10,M2B_T384s1_P10,Sseq
M2B_T384s1_P11,M2B,P11,P11,M2B_T384s1_P11,Sseq
M2B_T384s1_P12,M2B,P12,P12,M2B_T384s1_P12,Sseq
M2B_T384s1_P13,M2B,P13,P13,M2B_T384s1_P13,Sseq
M2B_T384s1_P14,M2B,P14,P14,M2B_T384s1_P14,Sseq
M2B_T384s1_P15,M2B,P15,P15,M2B_T384s1_P15,Sseq
M2B_T384s1_P16,M2B,P16,P16,M2B_T384s1_P16,Sseq
M2B_T384s1_P17,M2B,P17,P17,M2B_T384s1_P17,Sseq
M2B_T384s1_P18,M2B,P18,P18,M2B_T384s1_P18,Sseq
M2B_T384s1_P19,M2B,P19,P19,M2B_T384s1_P19,Sseq
M2B_T384s1_P20,M2B,P20,P20,M2B_T384s1_P20,Sseq
M2B_T384s1_P21,M2B,P21,P21,M2B_T384s1_P21,Sseq
M2B_T384s1_P22,M2B,P22,P22,M2B_T384s1_P22,Sseq
M2B_T384s1_P23,M2B,P23,AdMyoD,M2B_T384s1_P23,Sseq
M2B_T384s1_P24,M2B,P24,#4 MN(0Days) NRM,M2B_T384s1_P24,Sph
SC_unfresh_1,SC,1,SC,SC_unfresh_1,Pos
SC_fresh_5,SC,5,SC,SC_fresh_5,Pos
SC_unfresh_2,SC,2,SC,SC_unfresh_2,Pos
SC_fresh_6,SC,6,SC,SC_fresh_6,Pos
SC_unfresh_3,SC,3,SC,SC_unfresh_3,Pos
Myo_unfresh_1,Myo,1,Myo,Myo_unfresh_1,Pos
SC_fresh_1,SC,1,SC,SC_fresh_1,Pos
Myo_unfresh_2,Myo,2,Myo,Myo_unfresh_2,Pos
SC_fresh_2,SC,2,SC,SC_fresh_2,Pos
Myo_unfresh_3,Myo,3,Myo,Myo_unfresh_3,Pos
SC_fresh_3,SC,3,SC,SC_fresh_3,Pos
Myo_unfresh_4,Myo,4,Myo,Myo_unfresh_4,Pos
SC_fresh_4,SC,4,SC,SC_fresh_4,Pos
