"M2B_T384s1_A1" "M2B_T384s1_A23" "M2B_T384s1_A24" "M2B_T384s1_B1" "M2B_T384s1_B23" "M2B_T384s1_B24" "M2B_T384s1_C1" "M2B_T384s1_C23" "M2B_T384s1_C24" "M2B_T384s1_D1" "M2B_T384s1_D23" "M2B_T384s1_D24" "M2B_T384s1_E1" "M2B_T384s1_E23" "M2B_T384s1_E24" "M2B_T384s1_F1" "M2B_T384s1_F23" "M2B_T384s1_F24" "M2B_T384s1_G1" "M2B_T384s1_G23" "M2B_T384s1_G24" "M2B_T384s1_H1" "M2B_T384s1_H23" "M2B_T384s1_H24" "M2B_T384s1_I1" "M2B_T384s1_I2" "M2B_T384s1_I24" "M2B_T384s1_J1" "M2B_T384s1_J2" "M2B_T384s1_J24" "M2B_T384s1_K1" "M2B_T384s1_K2" "M2B_T384s1_K24" "M2B_T384s1_L1" "M2B_T384s1_L2" "M2B_T384s1_L24" "M2B_T384s1_M1" "M2B_T384s1_M2" "M2B_T384s1_M24" "M2B_T384s1_N1" "M2B_T384s1_N2" "M2B_T384s1_N24" "M2B_T384s1_O1" "M2B_T384s1_O2" "M2B_T384s1_O24" "M2B_T384s1_P1" "M2B_T384s1_P2" "M2B_T384s1_P24"
"1110037F02Rik" 5 9 0 0 0 0 3 2 0 1 3 4 0 0 0 2 1 0 1 2 1 1 2 0 1 1 1 1 1 2 1 0 1 1 2 0 1 0 0 0 0 0 1 0 0 1 1 0
"1110038B12Rik" 5 7 1 5 2 0 0 3 3 0 1 1 0 0 0 4 2 2 0 2 2 5 7 3 3 0 1 3 2 3 5 8 2 2 3 1 1 3 0 0 0 0 1 1 0 0 2 0
"1110038F14Rik" 5 2 1 2 1 0 1 3 1 1 2 1 2 0 0 0 1 0 3 4 3 7 2 4 1 2 3 1 0 3 2 1 1 1 2 1 1 0 0 0 0 0 0 2 1 0 0 1
"1110046J04Rik" 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
"1110051M20Rik" 1 4 0 0 0 0 1 0 0 0 0 1 0 2 0 2 1 0 2 3 1 2 3 1 0 1 1 0 0 1 1 1 0 0 1 0 0 1 0 0 0 1 0 0 4 1 1 0
"1110054M08Rik" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1110057K04Rik" 1 1 2 0 0 0 0 2 3 2 1 0 0 0 0 0 0 0 1 3 0 5 0 1 2 0 2 0 2 1 2 1 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 2
"1110058L19Rik" 6 3 6 2 0 2 0 3 0 0 4 3 1 2 2 2 2 3 13 7 6 8 5 4 1 1 6 1 2 2 10 2 0 4 6 0 1 1 0 1 3 0 0 2 1 4 2 1
"1110059E24Rik" 4 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 2 1 0 2 0 0 4 0 0 1 0 1 1 0 0 3 2 0 0 0 0 0 0 1 0 1 0 0 0 0
"1110059G10Rik" 2 2 0 1 2 0 2 0 1 1 1 1 0 1 4 1 1 0 4 8 1 2 6 4 1 1 2 1 0 2 1 3 1 1 2 0 1 0 2 0 1 0 1 0 0 2 0 1
"1110059M19Rik" 4 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"1110065P20Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1190002F15Rik" 2 0 0 0 0 0 0 1 0 2 2 1 1 0 0 2 0 0 4 0 0 3 0 2 0 0 0 1 0 4 2 5 0 1 3 0 0 4 0 0 0 0 0 0 2 0 0 1
"1190002N15Rik" 1 1 0 2 0 2 0 1 1 0 1 2 1 2 2 1 1 0 3 1 1 3 2 2 5 0 2 5 0 3 4 1 2 4 2 0 2 2 1 0 1 0 0 1 1 0 0 0
"1190003K10Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1190005I06Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1190007I07Rik" 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"1200011I18Rik" 4 0 0 2 0 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 1 2 0 0 0 0 1 0 0 0 6 0 0 1 0 0 0 0 0 0 1 0 1 0 2 0 1
"1200014J11Rik" 3 2 2 3 1 0 1 2 0 0 1 1 2 1 1 0 1 0 1 4 2 3 3 1 1 1 0 1 0 2 3 1 0 4 0 0 0 0 1 0 0 0 0 0 0 0 4 0
"1300002E11Rik" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"1300002K09Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1300015D01Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1300017J02Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1500002O10Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1500004A13Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"1500009C09Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1500009L16Rik" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0
"1500011B03Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
